ID,NAME,PHONENUMBER,ADDRESS,CITY,STATE,PHONEAREACODE,STATE_ENCODED_0,STATE_ENCODED_1,CITY_ENCODED
1450000000016,3rdStreetCoffee,(562) 622-1023,"8221 3rd St, Downey, CA",Downey,CA,562622,0,2,551246.9167152974
1450000000017,43North,(608) 255-4343,"108 King St., Madison, WI",Madison,WI,608255,0,4,609773.4410629224
1450000000018,456ShanghaiCuisine,1261,"69 Mott Street, New York, NY",New York,NY,212213,0,3,268251.2127659576
1450000000019,5411Empanadas,(773) 755-5411,"2850 N. Clark Street, Chicago, IL",Chicago,IL,773755,0,1,602096.4060475162
1450000000020,545NorthBarGrill,(847) 247-8700,"545 N. Milwaukee Avenue, Libertyville, IL",Libertyville,IL,847247,0,1,617619.2181812588
1450000000021,5A5SteakLounge,(415) 989-2539,"244 Jackson Street, San Francisco, CA",San Francisco,CA,415989,0,2,423290.6819966108
1450000000022,66LusSeafood,(718) 321-0904,"38-18 Prince Street, Queens, NY, NY",Queens,NY,718321,0,3,708294.8666243096
1450000000023,694WineSpirits,(312) 492-6620,"694 N. Milwaukee Avenue, Chicago, IL",Chicago,IL,312492,0,1,602096.4060475162
1450000000024,7SeasBrewing,(253) 514-8129,"3006 Judson Street, Gig Harbor, WA",Gig Harbor,WA,253514,0,5,510034.59857239353
1450000000025,829BarRestaurant,(718) 849-1829,"10419 Jamaica Avenue, Queens, NY",Queens,NY,718849,0,3,708294.8666243096
1450000000026,9Muses,(312) 902-9922,"315 S. Halsted Street, Chicago, IL",Chicago,IL,312902,0,1,602096.4060475162
1450000000027,99RanchMarket,(925) 833-3999,"7333 Regional Street, CA",Dublin,CA,925833,0,2,623030.3942658074
1450000000028,999MongolianBBQ,(323) 888-9099,"1212 S Greenwood Ave, Montebello, CA",Montebello,CA,323888,0,2,519190.8523472151
1450000000029,9thStreetPizza,(213) 627-7798,"231 E 9th St, Los Angeles, CA",Los Angeles,CA,213627,0,2,305365.81018923124
1450000000030,AWAll,(608) 592-1551,"N1551 Sunset Dr, Lodi, WI",Lodi,WI,608592,0,4,577629.4010794479
1450000000031,ALaBrasa,(608) 251-1700,"15 N Broom St, Madison, WI",Madison,WI,608251,0,4,609773.4410629224
1450000000032,ASaffronThread,(212) 676-0313,"98 Chambers Street, New York, NY",New York,NY,212676,0,3,268251.2127659576
1450000000033,ASaltBattery,(212) 691-2713,"112 Greenwich Avenue, New York, NY",New York,NY,212691,0,3,268251.2127659576
1450000000034,ATavola,(773) 276-7567,"2148 W. Chicago Avenue, IL",Chicago,IL,773276,0,1,602096.4060475162
1450000000035,APDeli,(708) 596-2270,"15033 Dixie Highway, IL",Illinois,IL,708596,0,1,675451.362624407
1450000000036,Aatxe,(415) 471-2977,"2174 Market Street, San Francisco, CA",San Francisco,CA,415471,0,2,423290.6819966108
1450000000037,AbbotsHabit,(310) 399-1171,"1401 Abbot Kinney Blvd, Venice, CA",Venice,CA,310399,0,2,501323.8668547152
1450000000038,AbbotsPizzaCompany,(310) 396-7334,"1407 Abbot Kinney Blvd, Venice, CA",Venice,CA,310396,0,2,501323.8668547152
1450000000039,ABCSeafood,(213) 680-2887,"205 Ord St, Los Angeles, CA",Los Angeles,CA,213680,0,2,305365.81018923124
1450000000040,AbundantRestaurant,(708) 960-4816,"17429 Center Street, Hazel Crest, IL",Hazel Crest,IL,708960,0,1,573155.5477476963
1450000000041,Acquerello,(415) 567-5432,"1722 Sacramento Street, San Francisco, CA",San Francisco,CA,415567,0,2,423290.6819966108
1450000000042,AdasLatinFlavor,(732) 222-5005,"279 Broadway, Long Branch, NJ",Long Branch,NJ,732222,0,6,579307.9126467947
1450000000043,Adelinas,(347) 763-0152,"159 GreenpointAve, Brooklyn, ",Brooklyn,NY,347763,0,3,650862.5810548888
1450000000044,AgamiSushiLounge,(773) 506-1854,"4712 N. Broadway Street, Uptown, Chicago, ",Chicago,IL,773506,0,1,602096.4060475162
1450000000045,Agave,(925) 676-5252,"1985 Willow Pass Road, Concord, CA",Concord,CA,925676,0,2,623027.7237483029
1450000000046,AiJapaneseRestaurant,(626) 799-0534,"1013 Fair Oaks Ave, South Pasadena, CA",South Pasadena,CA,626799,0,2,558602.1404249852
1450000000047,AintSheSweetCafe,(773) 373-3530,"526 E. 43rd Street, IL",Chicago,IL,773373,0,1,602096.4060475162
1450000000048,AJBombers,(608) 305-4474,"201 W Gorham St, Madison, WI",Madison,WI,608305,0,4,609773.4410629224
1450000000049,AjiSushiHouse,(718) 777-8889,"36-06 Ditmars Boulevard, Astoria, NY",Astoria,NY,718777,0,3,572580.8946444636
1450000000050,AjisenRamen,(415) 357-0288,"Westfield Mall, Level C, 845 Market Street, San Francisco, CA",San Francisco,CA,415357,0,2,423290.6819966108
1450000000051,AkiRestaurant,(310) 479-8406,"11513 Santa Monica Blvd, Los Angeles, CA",Los Angeles,CA,310479,0,2,305365.81018923124
1450000000052,Al,(224) 251-7549,"8335 N. SkokieBoulevard, Chicago, ",Chicago,IL,224251,0,1,602096.4060475162
1450000000053,AlDentePizzeriaDinner,(718) 830-0473,"103-15 Queens Boulevard, Queens, NY",Queens,NY,718830,0,3,708294.8666243096
1450000000054,AlNayarit,(818) 898-3651,"657 N Maclay Ave, San Fernando, CA",San Fernando,CA,818898,0,2,590128.9634014005
1450000000055,AlNoorHalalDeli,(718) 369-0911,"672 4th Ave, Brooklyn, NY",Brooklyn,NY,718369,0,3,650862.5810548888
1450000000056,AlsItalianBeef,(312) 943-3222,"169 W. Ontario Street, Chicago, IL",Chicago,IL,312943,0,1,602096.4060475162
1450000000057,AlsPlace,(415) 416-6136,"1499 Valencia Street, San Francisco, CA",San Francisco,CA,415416,0,2,423290.6819966108
1450000000058,AladdinGrill,(718) 979-0898,"1828 Hylan Boulevard, Staten Island, New York, ",New York,NY,718979,0,3,268251.2127659576
1450000000059,AlanasCafe,(650) 348-0417,"1408 BurlingameAvenue, Burlingame, ",Burlingame,CA,650348,0,2,565535.2260301362
1450000000060,AlaskaPaleteriaYNeveria,(773) 279-8135,"3446 W. Irving ParkRoad, Chicago, ",Chicago,IL,773279,0,1,602096.4060475162
1450000000061,AlbasPizzaRestaurant,(718) 932-5924,"36-20 Ditmars Boulevard, Queens, NY",Queens,NY,718932,0,3,708294.8666243096
1450000000062,Alborz,(925) 944-9009,"1829 Mount Diablo Boulevard, Walnut Creek, CA",Walnut Creek,CA,925944,0,2,665397.9785991646
1450000000063,Alchemy,(718) 636-4385,"56 5th Avenue, Brooklyn, NY",Brooklyn,NY,718636,0,3,650862.5810548888
1450000000064,AlcoveCafeBakery,(323) 644-0100,"1929 Hillhurst Ave, Los Angeles, CA",Los Angeles,CA,323644,0,2,305365.81018923124
1450000000065,Alfanoose,(212) 528-4669,"64 Fulton Street, New York, NY",New York,NY,212528,0,3,268251.2127659576
1450000000066,AlhambraDonutDeli,(925) 370-8221,"4025 Alhambra Avenue, Martinez, CA",Martinez,CA,925370,0,2,606623.176314394
1450000000067,AlisTrinidadRotiShop,(718) 783-0316,"1267 Fulton St, Brooklyn, NY",Brooklyn,NY,718783,0,3,650862.5810548888
1450000000068,AlicesRestaurant,(773) 921-1100,"5638 W. Chicago Avenue, Chicago, IL",Chicago,IL,773921,0,1,602096.4060475162
1450000000069,AllSeason,(415) 282-8883,"5238 Diamond Heights Boulevard, San Francisco, CA",San Francisco,CA,415282,0,2,423290.6819966108
1450000000070,AllegroDeli,(847) 279-3900,"771 S. Buffalo Grove, IL",Illinois,IL,847279,0,1,675451.362624407
1450000000071,AllendeRestaurant,(773) 477-7114,"2408 N. Lincoln Avenue, Chicago, IL",Chicago,IL,773477,0,1,602096.4060475162
1450000000072,AlohaEats,(773) 935-6828,"2534 N. Clark Street, Chicago, IL",Chicago,IL,773935,0,1,602096.4060475162
1450000000073,AltaCA,(415) 590-2585,"1420 Market Street, San Francisco, CA",San Francisco,CA,415590,0,2,423290.6819966108
1450000000074,AltiroLatinFusion,(773) 935-4000,"2116 W. Roscoe Street, North Center, Chicago, ",Chicago,IL,773935,0,1,602096.4060475162
1450000000075,Amarin,(925) 283-8883,"3555 Mount Diablo Boulevard, Suite B, Lafayette/Orinda, ",Lafayette/Orinda,CA,925283,0,2,597437.4382867502
1450000000076,Amarinds,(773) 889-9999,"6822 W. North Avenue, Chicago, IL",Chicago,IL,773889,0,1,602096.4060475162
1450000000077,AmaruPiscoBar,(718) 205-5577,"84-13 Northern Boulevard, Jackson Heights, Queens, ",Queens,NY,718205,0,3,708294.8666243096
1450000000078,AmazingKaleBurger,(847) 660-3770,"741 W. Howard Street, Evanston, IL",Evanston,IL,847660,0,1,607581.3515944555
1450000000079,AmericanEatery,(415) 391-0420,"Ferry Building, Level 1, 1 Ferry Plaza, Suite 47, San Francisco, CA",San Francisco,CA,415391,0,2,423290.6819966108
1450000000080,AmericanTap,(630) 628-5800,"701 W. Lake Street, Addison, IL",Addison,IL,630628,0,1,549647.0209512583
1450000000081,AmisRestaurant,(256) 386-5513,"500 N Montgomery Ave, Sheffield, AL",Sheffield,AL,256386,0,7,510408.270110764
1450000000082,Amicis,(415) 885-4500,"2200 Lombard Street, San Francisco, CA",San Francisco,CA,415885,0,2,423290.6819966108
1450000000083,Amigos,(212) 864-1143,"2888 Broadway, New York, NY",New York,NY,212864,0,3,268251.2127659576
1450000000084,AmishMarket,(212) 370-1761,"240 E 45th Street, New York, NY",New York,NY,212370,0,3,268251.2127659576
1450000000085,AmmoattheHammer,(310) 443-7037,"10889 Wilshire Blvd, Los Angeles, CA",Los Angeles,CA,310443,0,2,305365.81018923124
1450000000086,Amnesia,(415) 970-0012,"853 Valencia Street, San Francisco, CA",San Francisco,CA,415970,0,2,423290.6819966108
1450000000087,Amorino,(312) 266-7466,"838 N. State Street, Chicago, IL",Chicago,IL,312266,0,1,602096.4060475162
1450000000088,Amoura,(415) 357-9611,"Westfield Mall, Level C, 865 Market Street, San Francisco, CA",San Francisco,CA,415357,0,2,423290.6819966108
1450000000089,Amuse,(215) 422-8222,"Le Meridien, 1421 Arch Street, Philadelphia, PA",Philadelphia,PA,215422,1,0,456569.6461531867
1450000000090,AmuseWineBar,(212) 477-0100,"121 Ludlow Street, New York, NY",New York,NY,212477,0,3,268251.2127659576
1450000000091,AmysBread,(212) 977-2670,"672 9th Avenue, New York, NY",New York,NY,212977,0,3,268251.2127659576
1450000000092,AmysOmeletteHouse,(732) 222-1206,"444 Ocean Blvd, Long Branch, NJ",Long Branch,NJ,732222,0,6,579307.9126467947
1450000000093,AnastasiasRestaurantandSportsLounge,(847) 688-1317,"3880 Northpoint Boulevard, IL",North Chicago,IL,847688,0,1,594631.3684364771
1450000000094,AnatolianKitchen,(650) 853-9700,"2323 Birch Street, Palo Alto, CA",Palo Alto,CA,650853,0,2,555711.7871789793
1450000000095,AnchorHope,(415) 501-9100,"83 Minna Street, San Francisco, CA",San Francisco,CA,415501,0,2,423290.6819966108
1450000000096,AndaleMexican,(415) 512-6776,"Westfield Mall, 865 Market Street, San Francisco, CA",San Francisco,CA,415512,0,2,423290.6819966108
1450000000097,Andies,(773) 784-8616,"5253 N. Clark Street, Chicago, IL",Chicago,IL,773784,0,1,602096.4060475162
1450000000098,AndresHungarianStrudelsAndPastries,(212) 207-8117,"1045 1st Avenue, New York, NY",New York,NY,212207,0,3,268251.2127659576
1450000000099,Anella,(718) 389-8100,"222 Franklin Street, Brooklyn, NY",Brooklyn,NY,718389,0,3,650862.5810548888
1450000000100,AngelCafeDeli,(415) 931-3467,"700 Geary Street, San Francisco, CA",San Francisco,CA,415931,0,2,423290.6819966108
1450000000101,AngelsFlake,(718) 434-0816,"2114 Nostrand Avenue, Brooklyn, NY",Brooklyn,NY,718434,0,3,650862.5810548888
1450000000102,AngelasBurritoStyle,(773) 248-3901,"2556 N. Clark Street, Chicago, IL",Chicago,IL,773248,0,1,602096.4060475162
1450000000103,Angelos,(608) 838-2233,"4706 Farwell St, Madison, WI",Madison,WI,608838,0,4,609773.4410629224
1450000000104,AngelosPizza,(718) 899-6053,"9558 Roosevelt Ave, Jackson Heights, NY",Jackson Heights,NY,718899,0,3,597461.5182685404
1450000000105,AnimaPizzaPasta,(213) 738-0799,"698 S Vermont Ave, Los Angeles, CA",Los Angeles,CA,213738,0,2,305365.81018923124
1450000000106,AnmolRestaurant,(773) 508-5050,"2858 W. Devon Avenue, Chicago, IL",Chicago,IL,773508,0,1,602096.4060475162
1450000000107,AnnSather,(773) 348-2378,"909 W. Belmont Avenue, Chicago, IL",Chicago,IL,773348,0,1,602096.4060475162
1450000000108,AnnsBakeryDeli,(773) 384-5562,"2158 W. Chicago Avenue, Chicago, IL",Chicago,IL,773384,0,1,602096.4060475162
1450000000109,AnnasTeriyaki,(415) 864-3780,"83 9th Street, San Francisco, CA",San Francisco,CA,415864,0,2,423290.6819966108
1450000000110,Annakoot,(510) 860-7842,"Location Varies, San Francisco, CA",San Francisco,CA,510860,0,2,423290.6819966108
1450000000111,AnotherBrokenEgg,(818) 563-3344,"250 E. Olive Ave., Burbank, CA",Burbank,CA,818563,0,2,602895.3027429222
1450000000112,AnthonyMarios,(973) 423-9201,"547 High Mountain Rd, North Haledon, NJ",North Haledon,NJ,973423,0,6,603700.860242585
1450000000113,AntoniosTacosKabob,(818) 899-1199,"13630 Van Nuys Blvd, Pacoima, CA",Pacoima,CA,818899,0,2,583595.9783501171
1450000000114,Apizz,(212) 253-9199,"217 Eldridge Street, New York, NY",New York,NY,212253,0,3,268251.2127659576
1450000000115,ApolloBakery,(718) 961-0596,"135-36 39th Avenue, Queens, NY",Queens,NY,718961,0,3,708294.8666243096
1450000000116,Appetitto,(347) 808-0709,"79-7 37th Ave, Queens, NY",Queens,NY,347808,0,3,708294.8666243096
1450000000117,Applebees,(626) 932-0070,"502 W Huntington Dr, Monrovia, CA",Monrovia,CA,626932,0,2,566458.9709118404
1450000000118,Applewood,(718) 788-1014,"501 11th Street, Brooklyn, NY",Brooklyn,NY,718788,0,3,650862.5810548888
1450000000119,ApulumRestaurantBar,(718) 386-7515,"1819 Palmetto St, Ridgewood, NY",Ridgewood,NY,718386,0,3,570518.3852664691
1450000000120,ArabianSky,(415) 441-8832,"1098 Sutter Street, San Francisco, CA",San Francisco,CA,415441,0,2,423290.6819966108
1450000000121,Arandas,(608) 842-0683,"142 Market Street, Deforest, WI",Deforest,WI,608842,0,4,556265.7825508488
1450000000122,ArboretumLounge,(608) 643-6112,"7888 State Road 188, Sauk City, WI",Sauk City,WI,608643,0,4,559375.5767638221
1450000000123,Arbys,(608) 274-6205,"601 S Gammon Rd, Madison, WI",Madison,WI,608274,0,4,609773.4410629224
1450000000124,Arbys,(608) 240-4427,"4002 E Washington Ave, MADISON, WI",Madison,WI,608240,0,4,609773.4410629224
1450000000125,Arbys,(847) 228-0790,"Meadows Crossing, 1331 Golf Road, IL",Meadows Crossing,IL,847228,0,1,587281.8213203464
1450000000126,Arbys,(608) 222-2400,"4 Collins Court, MADISON, WI",Madison,WI,608222,0,4,609773.4410629224
1450000000127,ArdenChineseRestaurant,(773) 436-6200,"6207 S. Kedzie Avenue, Chicago, IL",Chicago,IL,773436,0,1,602096.4060475162
1450000000128,ArdysBakery,(605) 874-3336,"407 3RD Ave S, Clear Lake, SD",Clear Lake,SD,605874,1,1,559071.141074406
1450000000129,ArharnThai,(718) 728-5563,"32-05 36th Avenue, Queens, NY",Queens,NY,718728,0,3,708294.8666243096
1450000000130,AriaKabab,(718) 793-2984,"72-55 Kissena Boulevard, Queens, NY",Queens,NY,718793,0,3,708294.8666243096
1450000000131,AriaRestaurant,(312) 444-9494,"Fairmont Chicago Millenium Park, 200 N. Columbus Drive, IL",Fairmont Chicago Millenium Park,IL,312444,0,1,517701.890966605
1450000000133,AristonRestaurant,(708) 799-6166,"17501 Kedzie Avenue, Hazel Crest, IL",Hazel Crest,IL,708799,0,1,573155.5477476963
1450000000134,AristonRestaurant,(708) 544-8766,"919 Mannheim Road, Bellwood, IL",Bellwood,IL,708544,0,1,571118.339239807
1450000000135,ArizmendiBakeryPizzeria,(510) 547-0550,"4301 San Pablo Avenue, Emeryville, CA",Emeryville,CA,510547,0,2,543040.1266768072
1450000000136,ArmandsPizzeria,(708) 456-5200,"7650 W. North Avenue, IL",Illinois,IL,708456,0,1,675451.362624407
1450000000137,AromaBarandGrill,(323) 850-8120,"7373 W Sunset Blvd, Los Angeles, CA",Los Angeles,CA,323850,0,2,305365.81018923124
1450000000138,AromaCuisineofIndia,(510) 888-9555,"3418 Village Drive, Castro Valley, CA",Castro Valley,CA,510888,0,2,539684.782372811
1450000000139,ArtsSubs,(818) 883-5404,"20855 Ventura Blvd, Woodland Hills, CA",Woodland Hills,CA,818883,0,2,583593.8966145272
1450000000140,ArtiesNewYorkDelicatessen,(212) 579-5959,"2290 Broadway, New York, NY",New York,NY,212579,0,3,268251.2127659576
1450000000141,AruneeThai,(718) 205-5559,"78-23 37th Avenue, Queens, NY",Queens,NY,718205,0,3,708294.8666243096
1450000000142,Aryana,(925) 736-7781,"9000 Crow Canyon Road, Suite J, Danville, CA",Danville,CA,925736,0,2,606690.3172162836
1450000000143,AsadoCoffeeCo,(773) 703-3658,"1432 W. Irving Park Road, Chicago, IL",Chicago,IL,773703,0,1,602096.4060475162
1450000000144,AsahiJapanese,(847) 359-7097,"851 N. Quentin Road, Palatine, IL",Palatine,IL,847359,0,1,603021.7224919024
1450000000145,Ascona,(925) 399-6789,"6766 Bernal Avenue, Pleasanton, CA",Pleasanton,CA,925399,0,2,727544.9648622314
1450000000146,AshfordHouse,(708) 633-7600,"7959 W. 159th Street, IL",Tinley Park,IL,708633,0,1,569249.4373160067
1450000000147,AsiadeCuba,(212) 726-7755,"415 Lafayette Street, New York, NY",New York,NY,212726,0,3,268251.2127659576
1450000000148,AsianBox,(415) 288-3688,"Macy's Marketplace, Foodcourt, Level C, 170 O'Farrell Street, San Francisco, CA",San Francisco,CA,415288,0,2,423290.6819966108
1450000000149,AsianStation,(212) 288-4444,"1444 3rd Avenue, New York, NY",New York,NY,212288,0,3,268251.2127659576
1450000000150,AsianTimeEatery,(212) 827-0988,"243 W 38th Street, New York, NY, NY",New York,NY,212827,0,3,268251.2127659576
1450000000151,Asiento,(415) 829-3375,"2730 21st Street, San Francisco, CA",San Francisco,CA,415829,0,2,423290.6819966108
1450000000152,AthensGyros,(708) 389-8338,"5438 W. 127th Street, Chicago, IL",Chicago,IL,708389,0,1,602096.4060475162
1450000000153,AthensGyros,(608) 246-7733,"1860 E Washington Ave, Madison, WI",Madison,WI,608246,0,4,609773.4410629224
1450000000154,AthensGyros,(608) 249-6720,"5420 Willow Road, Waunakee, WI",Waunakee,WI,608249,0,4,565826.1694669146
1450000000155,AthensGyros,(608) 833-3344,"6628 Odana Rd, Madison, WI",Madison,WI,608833,0,4,609773.4410629224
1450000000156,AthensGyros,(608) 835-7744,"130 North Main, Oregon, WI",Oregon,WI,608835,0,4,569202.739895168
1450000000157,Atlacatl,(323) 663-1404,"301 N Berendo St, Los Angeles, CA",Los Angeles,CA,323663,0,2,305365.81018923124
1450000000158,AtlantisTaverna,(608) 837-5700,"239 E Main St, Sun Prairie, WI",Sun Prairie,WI,608837,0,4,567097.1797473603
1450000000159,AtlasCafe,(415) 648-1047,"3049 20th Street, San Francisco, CA",San Francisco,CA,415648,0,2,423290.6819966108
1450000000160,AtlasSteakhouseBar,(347) 915-2000,"943 Coney Island Avenue, Brooklyn, NY, NY",Brooklyn,NY,347915,0,3,650862.5810548888
1450000000161,AtomicWings,(212) 760-9090,"528 9th Avenue, New York, NY, NY",New York,NY,212760,0,3,268251.2127659576
1450000000162,AtotonilcoTortilleria,(773) 436-4890,"5656 S. Kedzie Avenue, Chicago, IL",Chicago,IL,773436,0,1,602096.4060475162
1450000000163,AuBonPain,(312) 880-0800,"829 S. Wabash Avenue, Chicago, IL",Chicago,IL,312880,0,1,602096.4060475162
1450000000164,Augies,(773) 296-0018,"1721 W. Wrightwood Avenue, Chicago, IL",Chicago,IL,773296,0,1,602096.4060475162
1450000000165,AugustinosRockRollDeli,(630) 293-8602,"300 W. North Avenue, West Chicago, IL",West Chicago,IL,630293,0,1,560059.7011456974
1450000000166,AuntieAnnes,(312) 798-1000,"Union Station, 225 S. Canal Street, IL",Union Station,IL,312798,0,1,517747.9493665295
1450000000167,AuntieEmsKitchen,(323) 255-0800,"4616 Eagle RockBlvd, Los Angeles, ",Los Angeles,CA,323255,0,2,305365.81018923124
1450000000168,AustinsSteakAleHouse,(718) 849-3939,"8270 Austin Street, Queens, NY",Queens,NY,718849,0,3,708294.8666243096
1450000000169,AutBar,(734) 994-3677,"315 Braun Ct, Ann Arbor, MI",Ann Arbor,MI,734994,1,2,572679.2268086898
1450000000170,AuxMerveilleuxdeFred,(917) 475-1992,"37 Eighth Avenue, New York, NY",New York,NY,917475,0,3,268251.2127659576
1450000000171,Avec,(312) 377-2002,"615 W. Randolph Street, Chicago, IL",Chicago,IL,312377,0,1,602096.4060475162
1450000000172,AvenueBG,(847) 979-2222,"1000 E. Higgins Road, Elk Grove Village, IL",Elk Grove Village,IL,847979,0,1,594629.9267606697
1450000000173,AwakeCafe,(312) 492-8600,"1357 W. Chicago Avenue, Chicago, IL",Chicago,IL,312492,0,1,602096.4060475162
1450000000174,Awash,(212) 982-9589,"338 E 6th Street, New York, NY",New York,NY,212982,0,3,268251.2127659576
1450000000175,AzeensAfghani,(626) 683-3310,"110 E Union St, Pasadena, CA",Pasadena,CA,626683,0,2,548966.273063253
1450000000176,AztalanInnBarGrill,(920) 648-3206,"W6630 County Road B, Lake Mills, WI",Lake Mills,WI,920648,0,4,601205.5175094601
1450000000177,AztecDaves,1269,"Location Varies, Chicago, IL",Chicago,IL,773681,0,1,602096.4060475162
1450000000178,BRestaurantBar,(415) 495-9800,"720 Howard Street, San Francisco, CA",San Francisco,CA,415495,0,2,423290.6819966108
1450000000179,BSCoffeeShop,(718) 786-0777,"21-06 36th Avenue, Queens, NY",Queens,NY,718786,0,3,708294.8666243096
1450000000180,BCafe,(212) 873-0003,"566 Amsterdam Avenue, New York, NY",New York,NY,212873,0,3,268251.2127659576
1450000000181,BaalCafeandFalafel,(646) 368-9957,"71 Sullivan Street, New York, NY",New York,NY,646368,0,3,268251.2127659576
1450000000182,BabasVillage,(312) 880-0010,"310 S. Canal Street, Chicago, IL",Chicago,IL,312880,0,1,602096.4060475162
1450000000183,Babalous,(925) 930-8000,"1645 Bonanza Street, Walnut Creek, CA",Walnut Creek,CA,925930,0,2,665397.9785991646
1450000000184,BabcockHallDairyStore,(608) 262-3045,"1605 Linden Dr, Madison, WI",Madison,WI,608262,0,4,609773.4410629224
1450000000185,BabesMadison,(608) 274-7300,"5614 Schroeder Rd, Madison, WI",Madison,WI,608274,0,4,609773.4410629224
1450000000186,BabyBluesBBQ,(323) 656-1277,"7953 Santa Monica Blvd, Los Angeles, CA",Los Angeles,CA,323656,0,2,305365.81018923124
1450000000187,BabyBluesBBQ,(415) 896-4250,"3149 Mission Street, San Francisco, CA",San Francisco,CA,415896,0,2,423290.6819966108
1450000000188,Bachue,(718) 779-7595,"86-02 37th Avenue, Queens, NY",Queens,NY,718779,0,3,708294.8666243096
1450000000189,BackAlleyBurger,(630) 516-1755,"609 W. Saint Charles Road, IL",Illinois,IL,630516,0,1,675451.362624407
1450000000190,BackToVermont,(802) 287-4064,"59 Main St, Poultney, VT",Poultney,VT,802287,1,3,581434.6163739989
1450000000192,BagelBarn,(609) 497-9555,"1225 Route 206 Ste 11, Princeton, NJ",Princeton,NJ,609497,0,6,557081.6089636441
1450000000193,BagelBobs,(212) 533-2627,"51 University Place, New York, NY",New York,NY,212533,0,3,268251.2127659576
1450000000194,BagelCafe,(212) 679-9845,"429 3rd Avenue, New York, NY",New York,NY,212679,0,3,268251.2127659576
1450000000195,BagelMercato,(718) 442-7900,"70 Bay Street, Staten Island, NY",Staten Island,NY,718442,0,3,581995.9210950512
1450000000196,BagelStreetCafe,(650) 652-9700,"537 Broadway Avenue, Millbrae, CA",Millbrae,CA,650652,0,2,565590.8699400607
1450000000197,BagelsForYou,(718) 793-9200,"113-29 Queens Boulevard, Queens, NY",Queens,NY,718793,0,3,708294.8666243096
1450000000198,Bagelsmith,(718) 218-7414,"189 Bedford Avenue, Brooklyn, NY",Brooklyn,NY,718218,0,3,650862.5810548888
1450000000199,BahayNatinRestaurantFoodmart,(310) 841-6559,"10032 Venice Blvd, Culver City, CA",Culver City,CA,310841,0,2,488997.1155238714
1450000000200,BahnThaiRestaurant,(608) 256-0202,"944 Williamson St, Madison, WI",Madison,WI,608256,0,4,609773.4410629224
1450000000201,BaisiThai,(312) 642-5030,"900 Shops, 900 N. Michigan Avenue, 6th Floor, Chicago, IL",Chicago,IL,312642,0,1,602096.4060475162
1450000000202,BajaFreshMexicanGrill,(909) 599-9910,"1331 Lone Hill Rd, Glendora, CA",Glendora,CA,909599,0,2,579588.6209526774
1450000000203,BajaFreshMexicanGrill,(323) 467-4620,"6922 HollywoodBlvd, Los Angeles, ",Los Angeles,CA,323467,0,2,305365.81018923124
1450000000204,BajaSharkeez,(310) 318-0004,"52 Pier Ave.���, Hermosa Beach, CA",Hermosa Beach,CA,310318,0,2,514663.6013243215
1450000000205,BakesSportsThemeRestaurant,(847) 223-3430,"33251 N. US Highway 45, IL",Grayslake,IL,847223,0,1,594576.2243368423
1450000000206,Baked,(212) 775-0345,"279 Church Street, New York, NY",New York,NY,212775,0,3,268251.2127659576
1450000000207,BakerHillPancakeHouse,(847) 888-8119,"1279 Dundee Avenue, Elgin, IL",Elgin,IL,847888,0,1,607587.9454648369
